days_elapsed,DRC 2018-20,DRC 2026,DRC 2012,DRC 2012 — timing unknown
0,,8,2,
1,,,,
2,13,13,,
3,,33,2,
4,16,51,,
5,16,64,,
6,17,83,,
7,17,91,,
8,21,101,,
9,22,105,,
10,25,106,,
11,30,121,6,
12,39,125,,
13,46,210,,
14,51,263,,
15,60,282,,
16,63,321,,
17,64,344,8,
18,69,363,,
19,75,381,,
20,76,452,,
21,76,488,,
22,77,515,,
23,79,550,,
24,83,598,,
25,83,635,,
26,84,676,9,
27,85,689,,
28,86,,,
29,88,782,14,
30,90,808,,
31,90,837,,
32,91,875,,
33,93,896,,
34,96,933,,
35,98,956,,
36,98,1003,,
37,100,1048,,
38,100,1094,19,
39,101,1118,,
40,101,1155,,
41,102,1203,,
42,106,,,
43,109,1274,,
44,109,,,
45,111,1333,,
46,111,1406,,
47,111,1460,,
48,111,1502,,
49,112,1528,,
50,116,1561,,
51,116,1624,31,
52,118,1708,,
53,119,1759,,
54,120,1792,,
55,120,1830,,
56,123,1873,,
57,124,1926,,
58,126,,,
59,127,2011,,
60,129,,,
61,129,2124,,
62,130,,,
63,133,2267,,
64,135,2344,,
65,140,2423,,
66,142,2473,,
67,146,2536,,
68,153,2905,35,35
69,159,,,
70,165,,,
71,170,,,
72,172,,,
73,176,,,
74,179,,,
75,181,,,
76,185,,,
77,188,,,
78,192,,,
79,200,,,
80,202,,,
81,203,,,
82,209,,,
83,212,,,
84,216,,,
85,222,,,
86,231,,,
87,232,,,
88,239,,,
89,241,,,
90,244,,,
91,250,,,
92,252,,,
93,258,,,
94,263,,,
95,265,,,
96,270,,,
97,273,,,
98,277,,,
99,284,,,
100,291,,,
101,,,,38
